output_3
	time	id	topic	sentiments	like	text
172	Tue Nov 30 23:58:30 +0000 2021	1465832642209796102	CR	=	6	"@emily_fri Think of it like this-can a patient walk into your office with no appointment and demand to be seen right now?Can your office give on demand vaxxes with no appt?Perhaps if pharmacists had some help in retail,they could do that.But they also need to fill Rxs,do COVID testing,etc."
173	Tue Nov 30 23:55:53 +0000 2021	1465831985981505550	CV	=	0	"#VaccineMandate for mainline ICU access - hard agree - unless specialist has given a credible reason to not have #vaccination , and you chose not to, care you get is in a spot in a dedicated overflow respiratory clinic with #unvaccinated staff who agree with your position. https://t.co/GM6ztLcS0A"
174	Tue Nov 30 23:57:34 +0000 2021	1465832407354036235	CP	+	2	@B52Malmet I would find it much safer if retailers would put mask mandates in place rather than simply “recommend” for the unvaccinated. Masks for everyone-including store employees please. It’s winter w increasing Covid infections &amp; another surge.
175	Tue Nov 30 23:59:56 +0000 2021	1465833001451982848	CV	+	0	@LnxVert @TheRealRalphC @LakersReporter Pray for LeBron 🙏. He's immunocompromised. So old he can't fight COVID even with a vaccine.
176	Tue Nov 30 23:59:23 +0000 2021	1465832866168950788	CR	=	0	@DOEChancellor The Occupational Safety and Health Administration (OSHA) is abiding by a court order and suspending enforcement of the Biden administration's COVID-19 vaccine mandate on large private businesses.
177	Tue Nov 30 23:57:38 +0000 2021	1465832422545653764	CR	-	0	"Went to go book a cruise and EVERY one requires vaccination , I’m blew .."
178	Tue Nov 30 23:57:16 +0000 2021	1465832332510646273	CT	=	2	@shaindelr It’ll be the end of Covid mutations.
179	Tue Nov 30 23:58:33 +0000 2021	1465832656264843267	CP	+	1	"On Nov 16th, Pfizer submitted its application for emergency use authorization (EUA) to the FDA. Given that drug development typically takes a decade we are fortunate that prior research and the 2003 SARS pandemic gave us a head start. 31/n https://t.co/zSNEBREIhc"
181	Tue Nov 30 23:55:32 +0000 2021	1465831897309745156	CV	=	10	There are FULLY VACCINATED PEOPLE DYING in the hospital. There are UNVACCINATED PEOPLE WHO ARE HOME WITH COVID AND HEALING.  STOP being ignorant.  Be smart. Wash your hands. Do what you feel is right for you. But don’t you DARE call nurses who RISKED THEIR LIFE FOR YOU a murderer
182	Tue Nov 30 23:59:00 +0000 2021	1465832766306717697	CP	=	0	The UK authorized Merck's COVID pill. It's the first shown to treat COVID-19 https://t.co/MTxLlbY7iY
184	Tue Nov 30 23:59:50 +0000 2021	1465832978974752768	CV	=	1	I need to discuss how this covid booster had me fatigued for like 3 days no lie. The scientist in me is intrigued and individual body responses to this vaccine. My brother and I literally slept two days straight. My mom and my grandma? Not a care in the world lmao they were fine
185	Tue Nov 30 23:58:39 +0000 2021	1465832678884724736	PL	=	0	Just chill with everything COVID and move on with your life.   This sensationalism and alarmism is just annoying at this point.
186	Tue Nov 30 23:58:26 +0000 2021	1465832627303239681	CS	=	2	@itosettiMD_MBA Meanwhile @Swissmedic_ still reviewing the file while thousands of Swiss based children get infected daily of which 10% will get long Covid
189	Tue Nov 30 23:57:28 +0000 2021	1465832384046133248	CP	=	1	"@UAPtechnician @Bhima_Jenkins @CoryArmbrecht @devgru1980mi The only thing I’ve “parroted” was information directly from the FDA website. You think you are superior because you listen to the TV 👏 👏 congratulations.  Big pharma is your friend 😒   My posts are directly associated with HEALTHY children,  none which have died from covid."
191	Tue Nov 30 23:58:43 +0000 2021	1465832699105476608	CS	=	1	"@Phil_P_Saliba @midwestjulie @davidfrum Such a BS cut &amp; paste argument. Like comparing Apples to Pelicans. Think it through. Nutritional habits are a part of life where 500k activities build up over 70 yrs to influence your health, and those decisions do not affect others as they are not contagious. Covid = Contagion."
192	Tue Nov 30 23:57:36 +0000 2021	1465832417156116483	CV	=	0	not encouraging.. https://t.co/9YBJ0aWnr0 - really trying to push people into #mRNA
193	Tue Nov 30 23:55:16 +0000 2021	1465831830209368064	CS	=	3	Does he have Covid???
194	Tue Nov 30 23:56:40 +0000 2021	1465832180203016202	PL	=	1	@Christi42510286 @NLDinNZ @Daystar Are we still on “COVID is a hoax”?
195	Tue Nov 30 23:57:47 +0000 2021	1465832460642574343	PL	=	0	@Dad__Nation Could care less...for one...ive seen how mcdonalds food is made.  And two if someone chooses to die from mcdonalds isnt going to require the same amount of care during or after compared to covid units.Why would hospitals choose to turn away money if these beds werent really full
196	Tue Nov 30 23:57:48 +0000 2021	1465832466673926145	CV	-	0	@UnsilencedOrg Won't work... Vaccine hesitancy is strong there due to leaders spreading conspiracies about vaccines having HIV to infect Africans.  This is a very real thing.  Many African countries are in the single digits COVID vax-wise and it isn't all down to supply issues.
197	Tue Nov 30 23:57:22 +0000 2021	1465832357911482369	CV	=	0	"@theyearofelan It's just a tiny little needle, too.  Every COVID shot, I've thought ""that's it?"""
198	Tue Nov 30 23:56:52 +0000 2021	1465832232116015108	PL	-	0	@Reuters @AlphaTradersinc this is why it’s not Bc of Covid  emergency breaking shakes off everything
199	Tue Nov 30 23:58:44 +0000 2021	1465832701982756864	CS	=	3	"@janet60286241 @Smeargledile @TheEconomist How can unvaccinated be blamed when they're not even allowed in the community to spread it? Getting the vaccine doesn't mean you can't get covid and pass it on, it means your body can recognise the virus and fight it more effectively. Stop spreading misinformation."
201	Tue Nov 30 23:57:16 +0000 2021	1465832332452053002	CV	+	3	"A busy Sunday for me and colleagues from @WoolpitHealth and @NHSWSCCG aiming for 10,000 jabs in a day https://t.co/5PRtN8TMjH"
202	Tue Nov 30 23:58:08 +0000 2021	1465832549930909697	CT	=	1	VIDEO: Biden Stresses Vaccines In Response To Omicron Variant Despite First Four Cases Being Recorded In Vaccinated Individuals   https://t.co/o8bvbEVamP   #COVID19 #coronavirus #vaccines #omicron
203	Tue Nov 30 23:58:10 +0000 2021	1465832560093761537	CP	=	46	"There needs to be accountability for the folks who blew the Covid response. From Trump, to pence, to Kushner on down. It was the greatest national security and public health failure in American history. And we need justice to heal and honor the lost."
204	Tue Nov 30 23:56:03 +0000 2021	1465832025491787783	CS	=	5	@metgaIaharry also i have to point out that just because europe countries and cities are having jumping with covid doesn’t mean he can’t tour the other continents. i mean he toured america when other countries and america themselves were spiking in covid rate.
205	Tue Nov 30 23:58:50 +0000 2021	1465832726179856385	CS	-	0	LEBRON GOT COVID???!!!?!!!??
206	Tue Nov 30 23:57:30 +0000 2021	1465832389507047424	PL	=	1	@di_canada Last job you’d want during Covid
207	Tue Nov 30 23:56:43 +0000 2021	1465832194501328899	CT	=	0	Omicron vs. Delta: More mutations don't necessarily make a meaner Covid-19 virus https://t.co/ZZnXNI6cUL https://t.co/Z2YWTCjtSG
208	Tue Nov 30 23:59:26 +0000 2021	1465832877971546116	CY	+	10	"EVERYDAY I come to work, I take care of those who can’t take care of themselves. No matter WHAT they believe in, what they look like, their “vaccination status” I take care of them THE SAME.  If you think, that instilling MORE HATE into this country will fix the problem, ur wrong"
209	Tue Nov 30 23:59:09 +0000 2021	1465832805066285057	CV	-	0	@disclosetv If someone dies do to a forced vaccination by a politician... that politician committed murder. The family of the fallen shall seek revenge.
211	Tue Nov 30 23:57:46 +0000 2021	1465832458692313088	PL	-	0	@LP62O @thanosquicksnap @KEEMSTAR Yall need to watch the 60 minutes special on youtube on whether the covid virus was man made or not. Very telling. A board of specialists discuss it.
212	Tue Nov 30 23:58:02 +0000 2021	1465832524874231808	CR	+	0	@Dewy743 @alzuke9 @washingtonpost Lockdown and the vaccines are not the same thing.  Plus canada is the perfect example to show vaccines and lockdown work. Look at the situation Alberta and Sask were dealing with because of low vaccination.   Since vaccination those states are the red states equivalent.
213	Tue Nov 30 23:55:49 +0000 2021	1465831968780820489	CR	=	1	Pentagon chief says Guard who refuse vaccine cannot train https://t.co/KbTWTGT85s
214	Tue Nov 30 23:55:52 +0000 2021	1465831978574491657	CS	=	1	@DrOakley1689 @UnbelievableJB Looks like he's sneezing. Is he going to give us Covid online?!
215	Tue Nov 30 23:57:17 +0000 2021	1465832335413104640	CY	=	0	@NickAdamsinUSA President trump also never caught Covid unlike lekaren! 😎 MAGA!
216	Tue Nov 30 23:55:31 +0000 2021	1465831892062720005	CY	=	2	@SahlukoTheeDyan @advovolicious @CapitecBankSA I don't know about dismissal but regarding retrenchment I saw them coming in for folks last year during covid hard lock down
217	Tue Nov 30 23:55:26 +0000 2021	1465831869702983686	PL	+	1	"@timmyrichieb I agree and I feel the same. If there’s evil there’s has to be good. And we have to start with goodness within ourselves. When I started perceiving this whole covid affair as aimed towards our destruction, oddly it provided some comfort."
218	Tue Nov 30 23:55:32 +0000 2021	1465831894159872174	CY	-	0	The November Sales Managers Survey continues to reflect the widespread damage to the Indian economy caused by the Covid epidemic. #SMI #India https://t.co/B1Y8EdxVXs
219	Tue Nov 30 23:57:03 +0000 2021	1465832277364064260	CS	=	0	"People with A, B blood groups, Rh  more susceptible to COVID: Study In a statement issued on Tuesday, Sir Ganga Ram Hospital (SGRH) said the research was conducted on a total of 2,586 COVID-positive patients, tested throu... #LatestNews by #MoneyControl https://t.co/2rWdEo0PZX"
220	Tue Nov 30 23:59:36 +0000 2021	1465832920841654275	CS	=	1	@CsFuckingSuck LeVariant got covid
221	Tue Nov 30 23:59:47 +0000 2021	1465832966878371845	CS	=	0	#they’ve been gunning for Africa to have a high percentage of COVID cases from day dot and it’s not happening. Like give it up
223	Tue Nov 30 23:56:24 +0000 2021	1465832114277044226	CV	-	1	"A Louisiana U.S. district judge blocked a federal COVID-19 vaccine mandate for health care workers Tuesday, issuing a nationwide injunction in another setback to President Joe Biden's effort to require wide segments of the population to be vaccinated."
224	Tue Nov 30 23:56:52 +0000 2021	1465832232497549313	CS	=	0	@shaunmicallef Yes I agree. Logging is a reminder of how Zoonotic diseases occur (Coronavirus). Scomo a reminder of corruption disease in government.
225	Tue Nov 30 23:56:44 +0000 2021	1465832198884392962	CR	=	0	Search after three people left Howard Springs quarantine facility https://t.co/Ix2kiVq1yP throw the book at them!
226	Tue Nov 30 23:56:58 +0000 2021	1465832256061198341	CS	=	0	10 YEARS Singer JESSE HASEK Tests Positive For COVID-19; Band To Sit Out Shows On THEORY Tour - https://t.co/zR8r2YnwMt https://t.co/pNALVifodn
228	Tue Nov 30 23:57:14 +0000 2021	1465832323534897153	CV	+	0	"This is an excellent site for tracking Covid vaccination rates in at least 200 countries. Surprising India is kind of low, but many countries have significantly high rates. Most African countries are very low. Why? https://t.co/D70O7EdYH5"
229	Tue Nov 30 23:59:52 +0000 2021	1465832985337417734	CP	=	6	"@Julius_Kim @auntmaggiep I'd tweak your message to: ""We can't get back to normal until we get a grip on COVID. That won't happen until we all stay masked until the vaccination rate is over 90%. Republicans, how are you planning to help us achieve that?"""
230	Tue Nov 30 23:58:14 +0000 2021	1465832575675494401	PL	+	30	It's taken me nearly 2 years into covid to realize that the only reason I've felt so much more confident about my looks lately is because I despise the entire bottom half of my face and now I never have to see it when I go out anymore HAHAHAHA rip 💀
231	Tue Nov 30 23:58:05 +0000 2021	1465832536119070724	CV	+	6	Kids and parents at Kimball Elementary School expected a COVID-19 shot Tuesday and left with the vaccination and sticker from former President @BarackObama and @NIH Dr. Anthony Fauci. https://t.co/d4YQaDxJPI
233	Tue Nov 30 23:57:33 +0000 2021	1465832403684012034	PL	+	17	"@LakersNation On a serious note, if Bron indeed does have COVID, I hope he recovers well. My man Joel got took out for 3 weeks by this virus &amp; I don’t need the same happening to him 🙏🏾"
234	Tue Nov 30 23:59:12 +0000 2021	1465832819142193153	CY	+	0	@adrndm @MeisterSilver @Khairykj I see your point but how can we ever go forward if we don’t remove quarantines. We have to live with the risk people are positive. Chances are person next to you has Covid but would never know. Enough people are vaccinated to be taken care of - we have to live with the virus
235	Tue Nov 30 23:55:12 +0000 2021	1465831812375007243	CL	-	0	@JoeBiden More people have died of COVID 19 in 2021 than 2020 you’re not doing a damn thing
236	Tue Nov 30 23:57:27 +0000 2021	1465832379315064838	CP	=	0	@VOCMNEWS @CBCNews @JustinTrudeau Vaccine Mandates deemed unconstitutional in the great USA. Mandates blocked by the courts. They deemed it illegal and immoral to limit peoples movement based on vaccination status.  Ooops. No vaxpass in the USA.
237	Tue Nov 30 23:58:17 +0000 2021	1465832587033780224	CV	-	0	@ratiowizard @LizNYC13 @CDCgov There are extremely strong safety signals in VAERS for the flu and especially the covid vaccines that anyone can verify. Did i send you the link about 5% of lot numbers causing 100% of deaths? Why is this not the TOP NEWS?
238	Tue Nov 30 23:59:37 +0000 2021	1465832925400809481	CV	=	0	"@donwinslow Yesterday, I received the Covid booster and flu shot. I have a sore arm and headache today, but totally worth it."
239	Tue Nov 30 23:57:58 +0000 2021	1465832506507333637	CV	=	0	@SimRelic This formula for comparing risk has been known since the 1600's.  Compare: Chance of outcome 1 x Value of outcome 1  to: Chance of outcome 2 x Value of outcome 2  The odds of getting very sick or dying from Covid are much higher than from the vaccine.
240	Tue Nov 30 23:55:36 +0000 2021	1465831912514195460	CT	+	1	"@carbonsaveruk @jly1960 Prime Minister Scott Morrison has vowed Australia will not step backwards in the face of the Omicron variant of concern and will continue to reopen, move forward, and DIE with the virus.  Fixed.  https://t.co/IEPpAMWTi7"
241	Tue Nov 30 23:55:35 +0000 2021	1465831909712297987	CY	+	0	"LeBron Enters Health And Safety Protocols, Out Tonight Vs. Kings https://t.co/pxIU4jU9qk"
242	Tue Nov 30 23:59:43 +0000 2021	1465832948398239750	CP	=	1	@miles_commodore Three question is that medicine for parasites safe to use for COVID-19 are there side effects and does it cost an arm and a leg
243	Tue Nov 30 23:59:34 +0000 2021	1465832911366758404	PL	-	0	Sometimes I remember the sound @MelanieScrofano made when I asked her if my hair looked good after she cut it and I just start smiling.  I miss her and all the moments I shared with her so f*cking much 😔  Can covid go away so I can finally go to cons and feel happy again?
244	Tue Nov 30 23:59:32 +0000 2021	1465832900700647436	CV	+	2	"@richarddoomed Larry Davis is 100 years old, so even vaccinated, he’s at risk from Covid. Better safe than sorry"
245	Tue Nov 30 23:55:16 +0000 2021	1465831828967809025	CV	-	1	@EdMEvans @sawmill123 @idreesali114 @BretBaier COVID vaccines are 95% effective at preventing the disease.  But go ahead. Keep making stuff up.  I’ll give it a try too: inflation is made up. It’s fake. It’s an illusion created by the GOP.
246	Tue Nov 30 23:59:47 +0000 2021	1465832965548777475	CV	=	0	@Gazbar1980 @RealDeniseWelch How do you know its lies what evidence do you have? The reason we are having a booster jab is simply the previous two do not offer protection. I know so many people that have had covid after two jabs who had no underlying illnesses. One spent 8 weeks in a coma that is fact.
247	Tue Nov 30 23:59:30 +0000 2021	1465832892249133059	PL	-	3	I hate covid https://t.co/p3HgSA5c3s
248	Tue Nov 30 23:59:08 +0000 2021	1465832800418938881	CV	-	0	A federal judge has temporarily blocked a mandate issued by President Biden set to take effect next week that would have required all U.S. health care workers to be vaccinated against COVID-19. The judge’s order temporarily blocks the mandate nationwide. https://t.co/N6gKl4XNlX
249	Tue Nov 30 23:57:56 +0000 2021	1465832500840869888	CV	=	1	"Sound off, if you are vaccinated.  Type  : 1 - for one dose 2- fully vaccinated  3- fully + booster   #GetVaccinatedNow #COVID19 #GetBoosted #Moderna #Pfizer #Booster #CDC #NIH"
250	Tue Nov 30 23:55:43 +0000 2021	1465831940217528326	PL	-	8	“When covid ease up we go lime nah” is the biggest lie that’s  ever been told💀💀
251	Tue Nov 30 23:56:35 +0000 2021	1465832159675965443	CS	=	10	@FloraStarr76 I think it comes down to which school has someone who happens to test for covid and uncovers all the asymptomatic cases that exist right now in EVERY school. And in answer to anyone who says “who cares if they aren’t sick”: watch this horrifying presentation that tells the truth https://t.co/YfztRgSSQi
252	Tue Nov 30 23:58:59 +0000 2021	1465832763915845634	CV	=	8	"@siobhanchiffon Not to worry anyone, but Pfizer didn't do anything to me but when I got the Moderna booster it kicked my ass for like 2 days. I highly recommend going into the booster with hella water/pedialyte in your system, I've heard it helps. So if you do get sick, know you weren't alone."
253	Tue Nov 30 23:59:43 +0000 2021	1465832947198615557	CV	+	0	@Robinthebank4 Covid positivity for unvaccinated is the major focus although vaccinated are actually going in at a high rate.
254	Tue Nov 30 23:56:21 +0000 2021	1465832102067261441	CP	-	0	@richardzussman Good ventilation? Oh good maybe she can instruct the gov to pay for portable  HEPA in classrooms where most kids are breathing air from MERV 8 &amp; 11 filters that DO NOT filter covid particles
256	Tue Nov 30 23:58:43 +0000 2021	1465832695934640129	CP	=	1	Biden Tries to Reassure on COVID as He Sells Spending Plan https://t.co/e5srNKRTSE
257	Tue Nov 30 23:59:28 +0000 2021	1465832887924707337	CY	=	0	"@drdavidsamadi Covid testing in Italy is paid by the government. Your ""family of four"" doesn't pay sh*t to get tested.  Stop projecting your country's shortcomings onto others. Just because Italy is also a Western country does not mean that they live in a capitalist dystopia like the US."
258	Tue Nov 30 23:55:14 +0000 2021	1465831822416392195	CV	=	0	"Don’t let the news of Chris Cuomo distract you from the fact that Moderna’s CEO claims vaccine effectiveness will “drop” against the new variant - an announcement that will inevitably lead to more lockdowns, forced vaccinations, and new shots. It’s about control and $$$. Wake up."
259	Tue Nov 30 23:57:25 +0000 2021	1465832370100072449	CV	=	1	"It showed an 89% reduction in risk of COVID-19-related hospitalization or death if taken within 3 days of symptom onset, and similar reductions if taken within 5 days of symptom onset. 30/n"
260	Tue Nov 30 23:57:04 +0000 2021	1465832281092804608	CV	-	0	A week or so ago “ Covid almost over” now we are told the troops are on standby to give booster jabs to entire population. I read patients are dying in ambulances as they wait to enter a/e or having to wait hours in the road with broken limbs for medics to arrive.
261	Tue Nov 30 23:57:59 +0000 2021	1465832512110874631	CP	+	0	Don't go full retard with this covid thing 😏 https://t.co/CwTQ9mFyTD
262	Tue Nov 30 23:59:18 +0000 2021	1465832844920442881	CY	-	5	@bees_oz @AlanBixter MSM and Govt have achieved their objective. Covid is so prevalent in schools now that it’s become normalised and parents &amp; teachers have been lulled into thinking it’s not a big deal. Our society has been duped and our kids will pay the price for potentially decades to come.
263	Tue Nov 30 23:55:49 +0000 2021	1465831967233126406	CY	-	1	@Eric_Schmitt hmm...will be interesting to see what happens when the Federal Government declines payment of medical procedures normally covered by Medicaid or Medicare due to lax Covid restrictions within the hospitals.  ...I guess the patients will be required to pay.
264	Tue Nov 30 23:59:28 +0000 2021	1465832884762071040	CS	-	16	@Daystar Oh was he an anti-vax anti-science guy and caught COVID? I wouldn't wish it on anyone but those were bad judgments and choices.
265	Tue Nov 30 23:58:29 +0000 2021	1465832639697506307	CY	=	0	FDA advisers vote to recommend authorization of COVID-19 pill from Merck https://t.co/v0xSyWsR6e
266	Tue Nov 30 23:57:47 +0000 2021	1465832462412496899	PL	-	13	"An eagle eyed FACT member spotted someone in the antivax telegram channels offering to sell fake vaccine passes.   But as @andrewtychen points out, with no requirement to verify a pass is genuine or matches the holders I.D, the system is wide open to abuse https://t.co/XzdpmLNzOD"
268	Tue Nov 30 23:55:26 +0000 2021	1465831872467030018	CS	-	0	"Coronavirus Update NH hospitalizations reach new high.  22 new deaths (one of the deaths was from two weeks ago, and recently confirmed) 902 new cases from Monday, Nov. 28 NH COVID-19 deaths 1,716 392 hospitalized. 6,898 current cases  https://t.co/PBMDmMSB99"
269	Tue Nov 30 23:58:16 +0000 2021	1465832585511124993	CY	=	0	Between the Cowboys having Covid issues lately and now Bron…..🤦🏾‍♀️
270	Tue Nov 30 23:58:14 +0000 2021	1465832574610132998	CS	=	0	@_JasonLT Not with LeBron going into Covid protocol
271	Tue Nov 30 23:57:44 +0000 2021	1465832450093981698	CR	=	3	@geoffreyyork @TSRHG probably due to lack of testing - vaccination rates low  etc .. they can fly to Europe ? and get a negative PCR test before flying to Canada is the thought ?
274	Tue Nov 30 23:58:44 +0000 2021	1465832702096125954	CY	-	0	Looks like LeBron got COVID 🥴
276	Tue Nov 30 23:57:55 +0000 2021	1465832495308541962	CV	-	0	Alert: Pfizer Is Lobbying to Thwart Whistleblowers Exposing Fraud https://t.co/mpueGVSEUv
277	Tue Nov 30 23:55:31 +0000 2021	1465831890410086406	CV	=	0	"Vaccines and long covid. Long covid is reduced bcos people are less likely to contract covid if vaccinated. But if they have a breakthrough infection, they might be 50% or more at risk.    https://t.co/mWA0Y64g8p"
278	Tue Nov 30 23:55:17 +0000 2021	1465831831828418563	PL	+	4	@macy197070 Thank you and please wear a mask while laughing.
279	Tue Nov 30 23:56:56 +0000 2021	1465832247551008773	CY	-	2	"@Grim_Chieftan @Moms4Liberty 💃🏻 Anna here. They don't care. One of their own had a kid die from COVID and they are still out here pushing their ignorant agenda. Oh, and also this crap:  https://t.co/0Baho0lI1Z"
280	Tue Nov 30 23:56:23 +0000 2021	1465832110338592777	CY	=	1	"@jmeltoon Facts, but it also puts the pressure on Russ and AD which could lead to more possible injuries. Lebron couldn’t have covid for all we know and it just hinders everything, overall this isn’t what the lakers need rn to gain momentum. We will see how it plays out😅"
281	Tue Nov 30 23:57:39 +0000 2021	1465832430179344388	CP	=	31	"@MorePerfectUS @TheSOC Unless you work at a hospital, majority of these employers are NOT disclosing positive COVID tests. It's seems like a big deal because it's Amazon, one of our leading employers, but they're doing exactly what everyone else is bcuz - capitalism."
282	Tue Nov 30 23:56:04 +0000 2021	1465832029912657925	CS	=	0	Long-Haul COVID Can Include Chronic Fatigue https://t.co/D2Aay6vb1S https://t.co/FPgj5keYBi
283	Tue Nov 30 23:57:47 +0000 2021	1465832462576234502	CT	=	2	"My message to market manipulators and alarmist: #coronavirus and #OmicronVariant is not the end of the world. These are largest and best performing 500 companies in the world! What you are doing is not sensible or wise and won't do good to anyone, including you! 👎 https://t.co/l107hZ6Q8z"
284	Tue Nov 30 23:56:02 +0000 2021	1465832023101222912	CS	=	1	@ForeverMeshel He entered covid protocol
285	Tue Nov 30 23:55:41 +0000 2021	1465831935058583555	CT	=	4	"@JoeBiden @Heinzilla With this new variant from what information I could get, it looks like we all need the booster and there will be more covid break-through cases. We need to mask up again."
286	Tue Nov 30 23:57:03 +0000 2021	1465832275640160258	CP	+	1	"Looking for answers to your #health questions? ❓ Gale Health &amp; Wellness Resource Center has access to authoritative health info, including COVID-19. Use your library card to browse free online #medical materials. https://t.co/dKkk8ci2pO #Gale #Health #PHX https://t.co/KE9doJlyDN"
287	Tue Nov 30 23:55:25 +0000 2021	1465831868247465988	PL	=	3	"@Dan_Stnwy007 @Hubert_Fronten3 @JuanchoS @LexG_III I love Marshmello. He was supposed to be in town for the big Bunbury Festival in Cincinnati in 2020, but thanks to Covid it didn’t happen."
288	Tue Nov 30 23:58:26 +0000 2021	1465832623746519046	CY	+	1	Happy Holidays to the one ☝️ who doesn’t believe there’s a #Jesus. Jesus Loves you just the same. Still find time for him. He’s behind every #Scene. We couldn’t survive COVID-19 if it wasn’t for JESUS. 🇯🇲🙏🏾🇺🇸✍🏽🕯🕊🕊🕊✍🏽 😷 🕊 #JESUSISMYPWOWPWOW 📖✍🏽
289	Tue Nov 30 23:58:11 +0000 2021	1465832561737977859	CV	-	2	Nearly 50k Medicare patients died soon after getting COVID shot: whistleblower https://t.co/wa1sKeuE8E
290	Tue Nov 30 23:58:37 +0000 2021	1465832670764486656	CL	-	0	"When whole world is worrying about the new covid variant, Punjab government is keep on digging their own grave. No covid rules, political rallies on peak."
292	Tue Nov 30 23:59:25 +0000 2021	1465832871931912192	CY	=	0	@XXXMEEZY Lebron got covid he out
293	Tue Nov 30 23:55:08 +0000 2021	1465831795727994884	CS	=	0	Our weekly COVID-19 trend report for November 22-29 is now available on our website! This week's report also includes additional information on COVID-19 breakthrough cases.   Read it here 👉: https://t.co/WbWmuTetAb https://t.co/HsfyS9Dzgf
295	Tue Nov 30 23:56:09 +0000 2021	1465832051035226120	CS	=	0	"@YOonthe3rdday25 @ShafarShimmy @jemelehill Ok, so what percentage of people that die of Covid have mild comorbidities?  Can you name any of these mild comorbidities that get exacerbated by Covid to where they become lethal.  For all these questions, we have more than 1.5 years of published data so I’m not asking a lot."
296	Tue Nov 30 23:55:11 +0000 2021	1465831808293949443	CL	=	0	"@MegaHeid Partly depends who would’ve replaced him as PM, I guess, and their COVID policies."
298	Tue Nov 30 23:56:48 +0000 2021	1465832214051102725	PL	=	1	@SpoonOfZeke I love poker!  Been playing since 2003.  Haven't been to a casino since COVID though.
299	Tue Nov 30 23:55:06 +0000 2021	1465831788647833604	PL	+	0	"The COVID-19 Pandemic has not been nice to many people. This is a reminder to visit a therapist if Corona Virus has affected your financial situation, relationship, or general peace of mind."
301	Tue Nov 30 23:59:11 +0000 2021	1465832814385979396	CY	-	0	"For the second straight year, enrollment in Virginia public schools has dropped, with 46,000 fewer students enrolled since the start of the COVID-19 pandemic. The largest school district in VA, Fairfax County, saw the largest dip. A 5.4% difference fall '19 and fall '21.  CRT."
302	Tue Nov 30 23:57:48 +0000 2021	1465832464941662208	PL	=	1	"@Hannahfrances13 I don't think I would make a fuss about it to this extent, if my husband didn't have surgery before Christmas...This can't be postponed any longer and that's half the reason why I'm trying to avoid Covid at all costs right now...besides not wanting my kids sick."
303	Tue Nov 30 23:57:36 +0000 2021	1465832417416122368	CL	-	0	"@zacelmenreich Beyond that, Dr. Fauci has ADMITTED TO lying (what he perceives to be white lies) in order to increase vaccination rates.  Obviously this kind of thing is going to create a temporary spike in vaccinations but the long term ramifications and blowback of the lies are also scary."
306	Tue Nov 30 23:58:29 +0000 2021	1465832640179802119	PL	=	0	@ShamsCharania How much time he is out if he hasn’t covid?
307	Tue Nov 30 23:55:11 +0000 2021	1465831808269000705	CS	=	0	Shawty got covid cause she ain’t got sense of taste with that bozo she got for a bf
308	Tue Nov 30 23:56:02 +0000 2021	1465832021872283653	CV	=	0	@CoinDesk @godbole17 Moderna is being premature Scientists say it will take about 3 weeks before it is known how the heavily mutated variant impacts on the effectiveness of vaccines. https://t.co/MXBXVQmTE8
310	Tue Nov 30 23:55:16 +0000 2021	1465831828481187845	CL	=	4	#BREAKING for anyone in diff timezones. A FED JUDGE has blocked the Biden admin's fascist mandate on a NATIONAL LEVEL. This means the #VaccineMandate is 💯 DEAD in the USA. American politicians &amp; citizens have fought this via courts &amp; WON! #VaccineMandate https://t.co/sGChCysLR9
311	Tue Nov 30 23:56:52 +0000 2021	1465832230442385408	PL	=	1	@greedywordsmith @bennessb My partner &amp; I do trigger ball massage on our legs &amp; feet for pain management but that’s only when we have the energy 😵 Years before Covid I used to get a massage at a chiro &amp; that used to feel amazing.
312	Tue Nov 30 23:56:45 +0000 2021	1465832201061347329	CV	=	0	"@NHLREADYY @lovelakelife822 @Oliver197434675 @phflores @OANN @christina_bobb Not at all. Natural immunity doesn’t last as long as vaccination, and it seems there’s at least a 35% chance you won’t develop antibodies after relying on natural immunity."
313	Tue Nov 30 23:57:13 +0000 2021	1465832319827120128	PL	-	0	How unresolved grief could haunt children who lost a parent or caregiver to COVID https://t.co/7jCaUzhkHP
314	Tue Nov 30 23:56:03 +0000 2021	1465832026947440658	CL	+	0	Post Edited: Governor says session to cut taxes of wealthy will begin Dec. 7; acknowledges surging COVID numbers https://t.co/EPLMAGPCQp https://t.co/diVSEoUdYq
315	Tue Nov 30 23:56:45 +0000 2021	1465832201493401605	CV	=	2	Covid: Greece to fine over-60s who refuse Covid-19 vaccine https://t.co/LO96KZQvcl
317	Tue Nov 30 23:55:12 +0000 2021	1465831811586527234	CY	=	1	@EthanHBellamy @MyOwnHedgeFund Who knew conjunctivitis and covid had a correlation? https://t.co/mTArpWw02x
318	Tue Nov 30 23:59:52 +0000 2021	1465832985983344644	CV	-	1	"@Billius27 France, like other countries, extended COVID-19 booster shots to 18+ five months after the second dose. In Canada? Zero, zilch, nothing. 3rd dose is forbidden and banned like an illegal substance. Crazy.  https://t.co/WTBCt6yMYw"
319	Tue Nov 30 23:58:03 +0000 2021	1465832528896483328	CS	-	0	So he has COVID probably? https://t.co/uaZUvzwvYD
